food_id,food_name,food_name_normalized,food_type,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,zinc_mg,cholesterol_mg,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,water_g,ash_g,magnesium_mg,phosphorus_mg,source_document,source_sheet,source_page,import_status,alanine_g,arginine_g,aspartic_acid_g,cystine_g,folate_mcg,glutamic_acid_g,glycine_g,histidine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,mufa_g,mufa_pufa_g,niacin_mg,pantothenic_acid_mg,phenylalanine_g,proline_g,riboflavin_mg,saturated_fat_g,serine_g,thiamin_mg,threonine_g,tryptophan_g,tyrosine_g,valine_g,vitamin_b6_mg,vitamin_e_mg,vitamin_k_mcg
food_banh_bao_chay,Bánh bao chay,banh bao chay,mon_an,33.0,0.9,0.1,7.1,0.1,,,3.0,0.2,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_bao_nhan_thit,Bánh bao nhân thịt,banh bao nhan thit,mon_an,409.0,11.4,0.9,88.8,0.9,,,36.0,2.8,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_bot_loc,Bánh bột lọc,banh bot loc,mon_an,298.3,14.9,5.5,47.3,0.4,206.6,183.2,525.0,1.74,,98.4,7.1,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_canh_ca_ro,Bánh canh cá rô,banh canh ca ro,mon_an,167.0,14.9,5.5,15.8,0.6,591.0,72.4,65.0,1.0,0.3,159.3,,1959.0,18.3,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_canh_ghe,Bánh canh ghẹ,banh canh ghe,mon_an,337.8,22.4,9.0,41.7,,205.6,,106.6,12.0,2.8,252.7,137.8,644.2,23.8,,,38.0,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_chung_co_vua,Bánh chưng cỡ vừa,banh chung co vua,mon_an,204.8,4.7,5.6,33.9,,,,,,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_cuon_trung_cha,Bánh cuốn trứng + chả,banh cuon trung + cha,mon_an,354.0,,22.5,20.0,0.7,,,7.8,0.5,,,700.0,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_dau_xanh,Bánh đậu xanh,banh đau xanh,mon_an,113.0,3.5,5.4,12.5,,,,,,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_duc,Bánh đúc,banh đuc,mon_an,110.0,2.7,2.7,18.9,,,,,,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_gai,Bánh gai,banh gai,mon_an,360.6,9.3,4.2,71.4,,,,,,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_gao,Bánh gạo,banh gao,mon_an,76.0,0.0,3.0,,0.0,389.6,,0.0,0.0,,,0.0,,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_gio,Bánh giò,banh gio,mon_an,437.6,5.1,33.6,28.7,,,0.0,,,,,0.0,0.0,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_mi_xoi_chao,Bánh mì - xôi chảo,banh mi - xoi chao,mon_an,995.8,41.4,62.6,66.7,,2261.9,,92.9,6.3,2.0,116.1,645.4,36.5,23.3,,,125.2,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_kep_cha,Bánh mỳ kẹp chả,banh my kep cha,mon_an,391.6,14.1,22.0,34.3,0.2,533.0,15.0,28.0,2.5,0.0,,,12.0,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,banh my kep thap cam,mon_an,558.0,23.8,38.7,28.4,0.2,880.4,392.3,33.0,2.7,0.6,24.0,4.0,92.4,4.1,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_nuong_muoi_ot,Bánh mỳ nướng muối ớt,banh my nuong muoi ot,mon_an,420.6,12.3,32.2,20.4,,198.6,,22.6,1.6,1.1,168.0,104.0,17.3,,,,12.5,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_op_la,Bánh mỳ ốp la,banh my op la,mon_an,427.3,16.5,21.7,41.5,0.1,199.2,92.0,58.8,4.6,0.5,244.4,700.0,0.0,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_pate,Bánh mỳ pate,banh my pate,mon_an,360.4,19.3,14.8,37.5,0.2,284.0,186.0,31.0,3.0,1.2,34.0,2.0,138.0,5.8,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_que_hai_phong,Bánh mỳ que Hải Phòng,banh my que hai phong,mon_an,55.0,1.7,0.2,11.6,0.0,,,6.0,0.4,,0.0,,0.0,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_ruoc,Bánh mỳ ruốc,banh my ruoc,mon_an,111.6,3.0,2.0,20.4,0.0,12.6,37.5,13.9,0.6,,0.6,60.0,0.9,0.1,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_sot_vang,Bánh mỳ sốt vang,banh my sot vang,mon_an,382.0,19.3,12.6,41.6,1.5,464.6,467.9,58.6,5.4,1.7,47.0,1.6,2716.0,47.9,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_my_vuong,Bánh mỳ vuông,banh my vuong,mon_an,95.0,3.0,0.3,20.0,0.1,,,11.0,0.7,,0.0,,0.0,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_nuong_thap_cam,Bánh nướng thập cẩm,banh nuong thap cam,mon_an,706.0,18.0,31.5,87.5,,,,,,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_nuong_trung_dau_xanh,Bánh nướng trứng đậu xanh,banh nuong trung đau xanh,mon_an,648.0,19.5,27.5,,,,,,,,,,,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_ran_duong,Bánh rán đường,banh ran đuong,mon_an,252.0,3.3,10.2,36.7,0.4,61.9,71.3,61.0,1.0,0.3,,0.0,1.8,0.2,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_banh_ran_man,Bánh rán mặn,banh ran man,mon_an,207.0,4.2,11.1,22.6,0.5,542.4,58.8,16.7,2.1,0.4,9.0,0.2,0.6,0.8,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
