food_id,food_name,nutrient_id,nutrient_name,property_name,amount,unit,source_document,source_page,raw_nutrient,raw_line
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_nang_luong,Năng lượng,energy_kcal,558.0,kcal,tat_ca_mon_an.xlsx,1,Năng lượng,1| Năng lượng | 558 | Kcal
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_chat_dam,Chất đạm,protein_g,23.8,g,tat_ca_mon_an.xlsx,1,Chät dam,"2 | Chät dam | 23,8 | g"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_chat_beo,Chất béo,fat_g,38.7,g,tat_ca_mon_an.xlsx,1,Chät béo,"3 | Chät béo | 38,7 | g"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_chat_bot_duong,Chất bột đường,carbohydrate_g,28.4,g,tat_ca_mon_an.xlsx,1,Chát böt durng,"4 |  Chát böt durng | 28,4 | g"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_vitamin_a,Vitamin A,vitamin_a_mcg,4.0,mcg,tat_ca_mon_an.xlsx,1,Vitamin A,5 |  Vitamin A | 4 | g
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_beta_carotene,Beta-carotene,beta_carotene_mcg,92.4,mcg,tat_ca_mon_an.xlsx,1,Beta-caroten,"6 | Beta-caroten | 92,4 | g"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_vitamin_c,Vitamin C,vitamin_c_mg,4.1,mg,tat_ca_mon_an.xlsx,1,Vitamin C,"7 | Vitamin C | 4,1 | mg"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_canxi,Canxi,calcium_mg,33.0,mg,tat_ca_mon_an.xlsx,1,Canxi,8 | Canxi | 33 | mg
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_sat,Sắt,iron_mg,2.7,mg,tat_ca_mon_an.xlsx,1,sät,"6 | sät | 2,7 | mg"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_kem,Kẽm,zinc_mg,0.6,mg,tat_ca_mon_an.xlsx,1,Kém,"10 | Kém | 0,6 | mg"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_natri,Natri,sodium_mg,880.4,mg,tat_ca_mon_an.xlsx,1,Natri,"11 | Natri | 880,4 | mg"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_cholesterol,Cholesterol,cholesterol_mg,24.0,mg,tat_ca_mon_an.xlsx,1,Cholesterol,12 | Cholesterol | 24 | mg
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_kali,Kali,potassium_mg,392.3,mg,tat_ca_mon_an.xlsx,1,Kali,"13 |  Kali | 392,3 | mg"
food_banh_my_kep_thap_cam,BÁNH MỲ KẸP THẬP CẨM,nutrient_chat_xo,Chất xơ,fiber_g,0.2,g,tat_ca_mon_an.xlsx,1,Xo,"14 | Xo | 0,2 | 9"
food_banh_bao_chay,Bánh bao chay,nutrient_nang_luong,Năng lượng,energy_kcal,33.0,kcal,tat_ca_mon_an.xlsx,1,Näng luo'ng,1 | Näng luo'ng | 33 | Kcal
food_banh_bao_chay,Bánh bao chay,nutrient_chat_dam,Chất đạm,protein_g,0.9,g,tat_ca_mon_an.xlsx,1,Chät dam,"2 | Chät dam | 0,9 | g"
food_banh_bao_chay,Bánh bao chay,nutrient_chat_beo,Chất béo,fat_g,0.1,g,tat_ca_mon_an.xlsx,1,Chät béo,"3 | Chät béo | 0,1 | g"
food_banh_bao_chay,Bánh bao chay,nutrient_chat_bot_duong,Chất bột đường,carbohydrate_g,7.1,g,tat_ca_mon_an.xlsx,1,Chát böt durng,"4 |  Chát böt durng | 7,1 | g"
food_banh_bao_chay,Bánh bao chay,nutrient_canxi,Canxi,calcium_mg,3.0,mg,tat_ca_mon_an.xlsx,1,Canxi,8 | Canxi | 3 | mg
food_banh_bao_chay,Bánh bao chay,nutrient_sat,Sắt,iron_mg,0.2,mg,tat_ca_mon_an.xlsx,1,sät,"6 | sät | 0,2 | mg"
food_banh_bao_chay,Bánh bao chay,nutrient_chat_xo,Chất xơ,fiber_g,0.1,g,tat_ca_mon_an.xlsx,1,Xo,"14 | Xo | 0,1 | 9"
