ingredient_id,ingredient_name,category,energy_kcal,protein_g,fat_g,carb_g,fiber_g,purine_mg,sodium_mg,potassium_mg,phosphorus_mg,cholesterol_mg,water_g,fructose_g,glucose_g,sucrose_g,calcium_mg,iron_mg,vitamin_c_mg
1001,Gạo nếp cái,Ngũ cốc và sản phẩm chế biến,344.0,8.5,1.5,74.5,0.6,,3.0,280.0,98.0,0.0,14.0,,,,32.0,1.2,0.0
1002,Gạo nếp máy,Ngũ cốc và sản phẩm chế biến,346.0,8.4,1.6,74.9,0.5,,3.0,282.0,130.0,0.0,13.9,,,,16.0,1.2,0.0
1003,Gạo tẻ giã,Ngũ cốc và sản phẩm chế biến,344.0,8.1,1.3,75.0,0.7,,5.0,202.0,108.0,0.0,14.0,,,,36.0,0.2,0.0
1004,Gạo tẻ máy,Ngũ cốc và sản phẩm chế biến,344.0,7.9,1.0,75.9,0.4,,5.0,241.0,104.0,0.0,14.0,,,,30.0,1.3,0.0
1005,Gạo lứt,Ngũ cốc và sản phẩm chế biến,345.0,7.5,2.7,72.8,3.4,,5.0,202.0,246.0,0.0,12.4,,,,16.0,2.8,0.0
1006,Kê,Ngũ cốc và sản phẩm chế biến,331.0,7.0,3.0,69.0,3.4,62.0,7.0,249.0,290.0,0.0,14.0,,,,22.0,2.7,0.0
1007,Ngô bắp tươi,Ngũ cốc và sản phẩm chế biến,196.0,4.1,2.3,39.6,1.2,52.0,3.0,306.0,170.0,0.0,52.0,0.2,0.6,,4.0,0.6,12.0
1008,Ngô vàng hạt khô,Ngũ cốc và sản phẩm chế biến,354.0,8.6,4.7,69.4,2.0,,35.0,287.0,190.0,0.0,14.0,,,,30.0,2.3,0.0
1009,Bánh bao nhân thịt,Ngũ cốc và sản phẩm chế biến,219.0,6.1,0.5,47.5,0.5,,,,88.0,0.0,44.0,,,,19.0,1.5,
1010,Bánh đa nem,Ngũ cốc và sản phẩm chế biến,333.0,4.0,0.2,78.9,0.5,,,,65.0,0.0,15.0,,,,20.0,0.3,0.0
1011,Bánh đút,Ngũ cốc và sản phẩm chế biến,52.0,0.9,0.3,11.3,0.1,,,,19.0,0.0,86.6,,,,50.0,0.4,0.0
1012,Bánh mì,Ngũ cốc và sản phẩm chế biến,249.0,7.9,0.8,52.6,0.2,,,,164.0,0.0,37.2,,,,28.0,2.0,0.0
1013,Bánh phở,Ngũ cốc và sản phẩm chế biến,143.0,3.2,0.4,31.7,0.0,,3.0,15.0,64.0,0.0,64.3,,,,16.0,0.3,0.0
1014,Bánh quẩy,Ngũ cốc và sản phẩm chế biến,292.0,8.0,10.8,40.7,0.7,,,,,0.0,38.7,,,,,,0.0
1015,Bổng ngô,Ngũ cốc và sản phẩm chế biến,372.0,8.6,1.6,80.8,3.4,,,,47.0,0.0,3.0,,,,3.0,0.6,0.0
1016,Bột gạo nếp,Ngũ cốc và sản phẩm chế biến,362.0,8.2,1.6,78.8,0.6,,3.0,293.0,148.0,0.0,10.0,,,,12.0,0.8,0.0
1017,Bột gạo tẻ,Ngũ cốc và sản phẩm chế biến,359.0,6.6,0.4,82.2,0.4,,,76.0,135.0,0.0,10.0,,,,24.0,1.9,0.0
1018,Bột mì,Ngũ cốc và sản phẩm chế biến,346.0,10.3,1.1,73.6,0.3,14.0,4.0,186.0,132.0,0.0,14.0,,,,29.0,2.0,0.0
1019,Bột ngô vàng,Ngũ cốc và sản phẩm chế biến,361.0,8.3,4.0,73.0,1.5,,5.0,315.0,170.0,0.0,12.0,,,,15.0,2.1,0.0
1020,Bún,Ngũ cốc và sản phẩm chế biến,72.0,1.7,,25.7,0.5,,,,32.0,0.0,72.0,,,,12.0,0.2,0.0
1021,Cốm,Ngũ cốc và sản phẩm chế biến,297.0,6.1,0.8,66.3,0.6,,,,143.0,0.0,25.0,,,,24.0,1.0,0.0
